"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6","distance_V7","distance_V8"
"6",29,1,1,6,5,64,2.20689655172414,3,11,0.379310344827586,1,0.0344827586206897,28,0.96551724137931,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1243556529821,16.4012194668567,14.8323969741913,17,15.4919333848297,6.70820393249937,18.0554700852678,19.3390796058137
"3",60,1,2,5,5,78,1.3,2,11,0.183333333333333,2,0.0333333333333333,58,0.966666666666667,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.13552872566,13.4164078649987,4.58257569495584,12.7279220613579,17.1755640373177,15.3622914957372,15.9059737205869,16.8819430161341
"1",27,1,3,3,3,35,1.2962962962963,2,10,0.37037037037037,1,0.037037037037037,26,0.962962962962963,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46410161513775,12.4096736459909,11.7898261225516,13.6381816969859,16.4012194668567,11.13552872566,16.6433169770932,17.8605710994918
"6",33,1,1,6,5,69,2.09090909090909,3,6,0.181818181818182,0,0,33,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3416640641263,17.0880074906351,16.8819430161341,17.8885438199983,13.9642400437689,10.770329614269,18.9472953214964,19.157244060668
"7",89,1,1,6,6,160,1.79775280898876,3,15,0.168539325842697,0,0,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,16.4924225024706,17.5499287747842,16.0934769394311,16.9705627484771,18.8944436276912,17.0293863659264,7.93725393319377,18.411952639522
"6",31,1,1,6,5,67,2.16129032258065,3,10,0.32258064516129,1,0.032258064516129,30,0.967741935483871,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7473401244707,16.6733320005331,16.5227116418583,17.606816861659,14.3178210632764,7.07106781186548,18.7349939951952,19.5703857907809
"4",50,1,2,5,5,69,1.38,2,11,0.22,1,0.02,49,0.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,13.8924439894498,10.7238052947636,13.1909059582729,5.19615242270663,15.0332963783729,17.464249196573,17.4355957741627,15.0332963783729
"7",86,1,1,11,6,145,1.68604651162791,3,6,0.0697674418604651,0,0,86,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4,3,2,1,0,4,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,17.0293863659264,17.4928556845359,17.058722109232,17.4928556845359,18.7882942280559,17.7200451466693,10.1488915650922,17.7482393492988
"3",56,1,2,5,5,70,1.25,2,11,0.196428571428571,2,0.0357142857142857,54,0.964285714285714,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.0453610171873,13.490737563232,5.74456264653803,12.7279220613579,17.2336879396141,15.2970585407784,15.6524758424985,16.9410743460974
"1",32,1,3,3,3,39,1.21875,2,8,0.25,0,0,32,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3851648071345,12.9228479833201,10.295630140987,12.8452325786651,16.7928556237467,11.8743420870379,16.3707055437449,17.0293863659264
