"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6","distance_V7","distance_V8"
"7",83,1,1,6,6,138,1.66265060240964,3,9,0.108433734939759,0,0,83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4924225024706,17.4355957741627,16.0934769394311,16.8522995463527,19,17.0880074906351,7.54983443527075,18.5202591774521
"1",30,1,3,3,3,37,1.23333333333333,2,9,0.3,1,0.0333333333333333,29,0.966666666666667,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16227766016838,12.7279220613579,10.9087121146357,13.3416640641263,16.6433169770932,11.3137084989848,16.4012194668567,17.4068951855292
"6",30,1,1,6,5,64,2.13333333333333,3,8,0.266666666666667,0,0,30,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.8062484748657,16.7332005306815,16.7032930884901,17.6635217326557,14.1067359796659,9.16515138991168,18.8944436276912,19.5703857907809
"8",119,1,1,8,6,199,1.67226890756303,3,12,0.100840336134454,1,0.00840336134453781,118,0.991596638655462,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0277563773199,16.5227116418583,17.2046505340853,15.7162336455017,17.0293863659264,19.5703857907809,19.8494332412792,9.2736184954957
"5",32,1,1,6,5,71,2.21875,3,12,0.375,0,0,32,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.2172747402269,11.4455231422596,17.3781471969828,15.7162336455017,6.32455532033676,14.0356688476182,20.2977831301844,17.8885438199983
"4",48,1,2,5,5,62,1.29166666666667,2,9,0.1875,2,0.0416666666666667,46,0.958333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4164078649987,11.4891252930761,12.6885775404495,3.46410161513775,15.5884572681199,17.1464281994822,17,14.5945195193264
"1",34,1,3,3,3,44,1.29411764705882,2,10,0.294117647058824,0,0,34,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.4899959967968,11.7898261225516,13.5646599662505,16.4620776331543,11.6619037896906,16.6433169770932,17.5783958312469
"3",55,1,2,5,5,70,1.27272727272727,2,8,0.145454545454545,1,0.0181818181818182,54,0.981818181818182,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,11.7046999107196,13.228756555323,4,12.6885775404495,17.0293863659264,15.7797338380595,16.3095064303001,16.7332005306815
"6",31,1,1,7,5,66,2.12903225806452,3,6,0.193548387096774,1,0.032258064516129,30,0.967741935483871,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.142135623731,17.4355957741627,14.6628782986152,16.8522995463527,16.2788205960997,9.38083151964686,17.9164728671689,19.2613602842582
"7",80,1,1,8,6,146,1.825,3,15,0.1875,1,0.0125,79,0.9875,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,16.7032930884901,17.6918060129541,15.8745078663875,17.1172427686237,19.6468827043885,18.6279360101972,7.07106781186548,18.1107702762748
