"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6"
"3",1671,1,13,41,27,19995,11.9658886894075,12,491,0.293836026331538,0,0,1671,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,3,1,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,170.669270813465,172.21498192666,118.148212005091,201.568846799301,168.255757702374,176.847391838274
"3",1328,1,12,33,22,15890,11.9653614457831,12,461,0.347138554216867,0,0,1328,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,2,0,1,2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,158.085419947571,160.071858863449,82.2192191643779,188.098378515074,161.687971104841,167.570880525227
"5",1972,1,12,36,23,27532,13.9614604462475,14,382,0.193711967545639,0,0,1972,1,0,0,1,0,1,2,0,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,1,0,0,1,1,1,0,1,2,0,1,2,1,1,0,1,0,1,1,1,1,0,0,2,0,1,1,0,0,1,1,1,1,1,111.305884839931,122.339691024622,160.94098297202,160.875728436579,94.841973830156,120.871832947135
"3",1679,1,12,44,23,20012,11.9189994044074,12,430,0.256104824300179,0,0,1679,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,4,1,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,4,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,4,0,0,170.496334271444,171.647895413838,105.981130395934,194.44022217638,169.867595497199,176.385940482795
"4",1354,1,22,33,22,16215,11.9756277695716,12,445,0.328655834564254,0,0,1354,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,2,0,1,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,154.230347208323,157.54047099079,197.038067388005,97.5141015443408,163.281964711354,164.395863694924
"1",1869,1,10,37,27,26106,13.9678972712681,14,555,0.296950240770466,0,0,1869,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,3,0,1,0,0,0,1,0,1,1,1,94.7628619238571,128.210763978693,166.231765917348,160.654909666652,113.789278932595,118.764472802265
"5",1909,1,7,38,26,26475,13.8685175484547,14,623,0.326348873755893,0,0,1909,1,0,0,0,0,1,2,0,1,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,2,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,107.670794554512,123.462544927601,158.745078663875,152.960779286718,104.761634198785,113.23427043082
"6",1679,1,12,46,25,23335,13.8981536628946,14,315,0.187611673615247,0,0,1679,1,1,1,1,1,1,3,2,1,1,1,1,4,1,1,1,2,5,0,1,5,0,1,0,0,0,1,1,1,3,2,0,0,0,1,2,0,3,0,1,0,1,1,2,1,1,0,2,1,1,4,2,1,3,0,0,1,0,1,1,1,3,1,1,1,0,0,0,1,1,1,1,1,2,2,1,132.083307045213,135.882302011704,168.401306408234,163.865798750075,124.112851872802,119.745563592143
"1",1840,1,16,51,30,25709,13.9722826086957,14,566,0.307608695652174,0,0,1840,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,2,1,0,3,0,1,1,2,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,4,0,2,1,0,0,0,0,1,1,0,112.977873939989,130.353365894403,167.979165374757,159.812390007784,129.174300849666,129.123971438304
"4",5548,1,21,87,26,66357,11.9605263157895,12,577,0.104001441961067,0,0,5548,1,1,1,1,1,1,6,3,0,0,1,1,4,0,0,0,0,9,0,1,9,3,1,1,1,1,1,0,3,5,3,0,1,1,0,0,0,0,3,0,1,0,1,7,3,7,2,5,0,0,12,6,0,0,0,3,0,0,2,0,0,0,1,1,1,3,1,0,1,1,1,1,2,12,1,1,206.576862208719,209.150663398422,239.497390382442,170.282118849866,211.437934155629,210.710702148704
